Entropy,StdReturn,dLoss,MeanKLBefore,AverageDiscountedReturn,ExplainedVariance,LossAfter,AverageReturn,vf_LossBefore,MaxReturn,vf_dLoss,vf_LossAfter,Iteration,LossBefore,Perplexity,MinReturn,MeanKL,AveragePolicyStd,NumTrajs,vf_MeanKL
32.6355862637,241.79455483,0.0275725666811,0.0,35.7966701016,-0.00188741180064,-0.0275725666811,18.055765775,35330.7782513,360.680592299,0.0,35330.7782513,1,-9.53015763069e-17,1.4909223597e+14,-6794.96283332,0.00640256282729,1.0,3429,0.0
32.6369805026,200.510819953,0.0361245325615,0.0,51.6148504246,-0.002353860987,-0.0361245325615,36.2277502595,26917.0095454,328.83565813,4585.43599314,22331.5735522,2,-3.81774722406e-17,1.49300251145e+14,-1438.76033367,0.00995752014919,1.00006093161,3478,0.00820199796
32.6301129558,177.005849689,0.035528393466,0.0,70.0092136455,-0.00287519343252,-0.035528393466,58.582074127,17426.2477549,337.9672961,2044.55146902,15381.6962859,3,5.75381070842e-17,1.48278437374e+14,-1718.78853091,0.00997074820144,0.999763201043,3613,0.00373729759866
32.6406537731,168.360644535,0.0284553870767,0.0,81.4369017004,-0.00293584077532,-0.0284553870767,71.9424597197,13859.2528967,455.216707339,2418.8647484,11440.3881483,4,9.38579540289e-17,1.49849679832e+14,-1530.98988213,0.00640650599043,1.00022239963,3697,0.00863822771042
32.6375124939,155.851119941,0.028671836239,0.0,93.0184575376,-0.00306153127624,-0.028671836239,85.3516465841,10139.92068,364.651683659,1358.24695551,8781.67372448,5,2.1304019525e-17,1.49379698714e+14,-1511.31996271,0.00640485711385,1.00008639446,3754,0.00493296631395
32.6274438608,139.118362254,0.0283126713698,0.0,104.873399106,-0.00369667678922,-0.0283126713698,99.736376075,6767.74247748,456.048286225,1157.91465027,5609.82782722,6,4.00111980769e-17,1.47883195844e+14,-1493.4091031,0.00641859449086,0.999649644483,3853,0.00828152350385
32.6239899288,128.2793097,0.0353950878915,0.0,111.932193467,-0.00391170332498,-0.0353950878915,107.631759889,4978.03243797,403.236956593,656.060370355,4321.97206762,7,1.83559388308e-17,1.47373298417e+14,-1130.29316903,0.00997350776855,0.999500314389,3878,0.00476941599314
32.6191915384,111.588077179,0.0283614706442,0.0,121.524119166,-0.00416061220334,-0.0283614706442,119.217082039,3430.24529686,381.115808885,593.265448144,2836.97984872,8,-7.09088411112e-17,1.46667837689e+14,-728.343218824,0.00641391695004,0.999292567842,4071,0.00847980691739
32.6087332037,101.057104974,0.0344231559227,0.0,131.978282458,-0.00475841804113,-0.0344231559227,131.201033885,2543.83655765,373.121000399,341.470956375,2202.36560127,9,-1.3147552753e-17,1.45141929489e+14,-1122.64393176,0.00995665042195,0.998839830156,4153,0.00496114723478
32.608005125,297.559075432,0.0200811348965,0.0,131.62729065,-0.00145532750953,-0.0200811348965,131.297431229,7246.46330184,377.569059482,1311.60460307,5934.85869876,10,-1.80616811715e-17,1.45036293206e+14,-18090.8369112,0.00995105826353,0.998811016215,4233,0.00934125501308
32.5996097614,88.7477259978,0.0343219848129,0.0,141.631776765,-0.00517429850292,-0.0343219848129,142.625967991,1520.79532834,428.595738797,237.586251421,1283.20907692,11,1.06331624572e-17,1.43823757754e+14,-980.868780346,0.00997602428574,0.998446483114,4322,0.00684179778083
32.5810254262,89.4799358717,0.0279596149484,0.0,146.642765674,-0.00485482123551,-0.0279596149484,148.161600438,1391.89927669,382.313336626,201.582341777,1190.31693491,12,-1.21045994915e-16,1.41175572426e+14,-1379.50529606,0.00641954531811,0.997644965954,4426,0.00583096334132
32.5702665105,81.2288020087,0.0338325244313,0.0,150.359655217,-0.00563218619733,-0.0338325244313,152.613731395,1017.386968,453.261800144,111.962005694,905.424962311,13,1.94734495314e-16,1.39664817959e+14,-957.087504541,0.00998709210837,0.997180114301,4413,0.00328455058512
32.5603077887,75.6733803425,0.0334160587344,0.0,155.165401199,-0.00597759609975,-0.0334160587344,157.994086493,867.943084842,426.916403435,151.023292878,716.919791964,14,-1.12801513129e-16,1.3828083767e+14,-699.317688978,0.00999946010323,0.996751530571,4482,0.00862773705151
